Admin2Name,agImpacted_km2
Loukolela,0.26638747253417966
Mossaka,0.10546955432128906
Liranga,0.08850082244873045
Mpouya,0.056255680725097665
Makotimpoko,0.04333312432621974
Betou,0.03929049444580078
Gamboma,0.03752030487060547
Makoua,0.021455399108886712
Bouanila,0.019665048706054688
Impfondo,0.016085810485839843
Ntokou,0.013030993851246552
Dongou,0.012507553100585937
Enyelle,0.008932110412597656
Owando,0.005363654724121094
Epena,0.005362545349121093
Oyo,0.002681390197753906
Ngo,0.0017857626342773435
Pikounda,3.751188344918045E-4
Souanke,0.0
Mokeko,0.0
Ouesso,0.0
Sembe,0.0
Ngbala,0.0
Mbomo,0.0
Kelle,0.0
Etoumbi,0.0
Tchikapika,0.0
Boko,0.0
Tchiamba_Nzassi,0.0
Pointe-Noire,0.0
Hinda,0.0
Madingo_Kayes,0.0
Kakameoka,0.0
Mvouti,0.0
Nzambi,0.0
Banba,0.0
Nyanga,0.0
Divenie,0.0
Kibangou,0.0
Makabana,0.0
Loudima,0.0
Sibiti,0.0
Moutamba,0.0
Moungoundou_Sud,0.0
Mayoko,0.0
Yaya,0.0
Komono,0.0
Bambama,0.0
Zanaga,0.0
Mayeye,0.0
Mabombo,0.0
Nkayi,0.0
Madingou,0.0
Louvakou,0.0
Kimongo,0.0
Londela_Kayes,0.0
Boko_Songho,0.0
Mindouli,0.0
Mfouati,0.0
Yamba,0.0
Mouyondzi,0.0
Tsiaki,0.0
Kingoue,0.0
Kindamba,0.0
Kinkala,0.0
Mayama,0.0
Vindza,0.0
Goma_Tsetse,0.0
Mbandza_Ndounga,0.0
Louingui,0.0
Loumo,0.0
Brazzaville,0.0
Ignie,0.0
Ngabe,0.0
Djambala,0.0
Lekana,0.0
Kimba,0.0
Okoyo,0.0
Ewo,0.0
Allembe,0.0
Mbon,0.0
Abala,0.0
Ongogni,0.0
Ollombo,0.0
Boundji,0.0
Ngoko,0.0
Mbama,0.0
Mbinda,0.0
Moungoundou_ Nord,0.0
