Admin2Name,agImpacted_km2,agImpacted_ha,floodArea_km2,popImpacted
Loukolela,0.357566099,35.75660985,390.8897018,5474
Liranga,0.15018282,15.01828198,305.3900324,3808
Mossaka,0.143008247,14.30082472,258.2252952,3589
Mpouya,0.082150401,8.215040063,227.3801892,1457
Betou,0.067867521,6.7867521,211.336467,1303
Makotimpoko,0.060309689,6.030968854,112.9479242,1124
Gamboma,0.04466731,4.466730969,92.64127488,792
Makoua,0.031289124,3.12891239,66.28492055,326
Bouanila,0.019665049,1.966504871,31.72598285,153
Impfondo,0.01608581,1.608581049,30.84403341,93
Ntokou,0.015712918,1.57129178,28.99461265,56
Dongou,0.013400974,1.34009743,17.86328668,46
Enyelle,0.00893211,0.893211041,17.18639156,19
Owando,0.005363655,0.536365472,11.93597764,15
Epena,0.005362545,0.536254535,10.03946348,8
Oyo,0.00268139,0.26813902,9.443006658,0
Ngo,0.001785763,0.178576263,4.836309356,0
Pikounda,3.75E-04,0.037511883,4.815668745,0
Souanke,0,0,2.381430224,0
Mokeko,0,0,2.098547897,0
Ouesso,0,0,1.497368107,0
Sembe,0,0,1.388859922,0
Ngbala,0,0,1.20365162,0
Mbomo,0,0,0.820693503,0
Kelle,0,0,0.738376527,0
Etoumbi,0,0,0.214331766,0
Tchikapika,0,0,0.084179975,0
Boko,0,0,0.02396006,0
Tchiamba_Nzassi,0,0,0.010404683,0
Pointe-Noire,0,0,0.010088027,0
Hinda,0,0,0.009947065,0
Madingo_Kayes,0,0,0.002444572,0
Kakameoka,0,0,0.001442689,0
Mvouti,0,0,1.90E-04,0
Nzambi,0,0,0,0
Banba,0,0,0,0
Nyanga,0,0,0,0
Divenie,0,0,0,0
Kibangou,0,0,0,0
Makabana,0,0,0,0
Loudima,0,0,0,0
Sibiti,0,0,0,0
Moutamba,0,0,0,0
Moungoundou_Sud,0,0,0,0
Mayoko,0,0,0,0
Yaya,0,0,0,0
Komono,0,0,0,0
Bambama,0,0,0,0
Zanaga,0,0,0,0
Mayeye,0,0,0,0
Mabombo,0,0,0,0
Nkayi,0,0,0,0
Madingou,0,0,0,0
Louvakou,0,0,0,0
Kimongo,0,0,0,0
Londela_Kayes,0,0,0,0
Boko_Songho,0,0,0,0
Mindouli,0,0,0,0
Mfouati,0,0,0,0
Yamba,0,0,0,0
Mouyondzi,0,0,0,0
Tsiaki,0,0,0,0
Kingoue,0,0,0,0
Kindamba,0,0,0,0
Kinkala,0,0,0,0
Mayama,0,0,0,0
Vindza,0,0,0,0
Goma_Tsetse,0,0,0,0
Mbandza_Ndounga,0,0,0,0
Louingui,0,0,0,0
Loumo,0,0,0,0
Brazzaville,0,0,0,0
Ignie,0,0,0,0
Ngabe,0,0,0,0
Djambala,0,0,0,0
Lekana,0,0,0,0
Kimba,0,0,0,0
Okoyo,0,0,0,0
Ewo,0,0,0,0
Allembe,0,0,0,0
Mbon,0,0,0,0
Abala,0,0,0,0
Ongogni,0,0,0,0
Ollombo,0,0,0,0
Boundji,0,0,0,0
Ngoko,0,0,0,0
Mbama,0,0,0,0
Mbinda,0,0,0,0
Moungoundou_ Nord,0,0,0,0
