Admin2Name,popImpacted
Liranga,4495.0
Impfondo,3118.0
Betou,2684.0
Loukolela,1190.0
Dongou,1088.0
Mossaka,1006.0
Makotimpoko,677.0
Enyelle,326.0
Mpouya,115.0
Makoua,65.0
Ntokou,37.0
Owando,37.0
Oyo,9.0
Gamboma,8.0
Souanke,0.0
Mokeko,0.0
Ouesso,0.0
Sembe,0.0
Ngbala,0.0
Mbomo,0.0
Kelle,0.0
Etoumbi,0.0
Pikounda,0.0
Bouanila,0.0
Epena,0.0
Tchikapika,0.0
Boko,0.0
Tchiamba_Nzassi,0.0
Pointe-Noire,0.0
Hinda,0.0
Madingo_Kayes,0.0
Kakameoka,0.0
Mvouti,0.0
Nzambi,0.0
Banba,0.0
Nyanga,0.0
Divenie,0.0
Kibangou,0.0
Makabana,0.0
Loudima,0.0
Sibiti,0.0
Moutamba,0.0
Moungoundou_Sud,0.0
Mayoko,0.0
Yaya,0.0
Komono,0.0
Bambama,0.0
Zanaga,0.0
Mayeye,0.0
Mabombo,0.0
Nkayi,0.0
Madingou,0.0
Louvakou,0.0
Kimongo,0.0
Londela_Kayes,0.0
Boko_Songho,0.0
Mindouli,0.0
Mfouati,0.0
Yamba,0.0
Mouyondzi,0.0
Tsiaki,0.0
Kingoue,0.0
Kindamba,0.0
Kinkala,0.0
Mayama,0.0
Vindza,0.0
Goma_Tsetse,0.0
Mbandza_Ndounga,0.0
Louingui,0.0
Loumo,0.0
Brazzaville,0.0
Ignie,0.0
Ngabe,0.0
Ngo,0.0
Djambala,0.0
Lekana,0.0
Kimba,0.0
Okoyo,0.0
Ewo,0.0
Allembe,0.0
Mbon,0.0
Abala,0.0
Ongogni,0.0
Ollombo,0.0
Boundji,0.0
Ngoko,0.0
Mbama,0.0
Mbinda,0.0
Moungoundou_ Nord,0.0
